'A test design technique is | a process for selecting test cases',
'Consider the following statements: i. 100% statement coverage guarantees 100% branch coverage. ii. 100% branch coverage guarantees 100% statement coverage. iii. 100% branch coverage guarantees 100% decision coverage. iv. 100% decision coverage guarantees 100% branch coverage. v. 100% statement coverage guarantees 100% decision coverage. | ii, iii & iv are True; i & v are False',
'Which of the following is the odd one out? | functional',
'An important benefit of code inspections is that they: | enable the code to be tested before the execution environment is ready.',
'Statement Coverage will not check for the following: | Missing Statements',
'Unreachable code would best be found using: | code reviews',
'How many test cases are necessary to cover all the possible sequences of statements (paths) for the following program fragment? Assume that the two conditions are independent of each other : – ………… if (Condition 1) then statement 1 else statement 2 fi if (Condition 2) then statement 3 fi ………… | 4 test cases',
'Analyse the following highly simplified procedure: Ask: “What type of ticket do you require, single or return?” IF the customer wants ‘return’ Ask: “What rate, Standard or Cheap-day?” IF the customer replies ‘Cheap-day’ Say: “That will be £11:20” ELSE Say: “That will be £19:50” ENDIF ELSE Say: “That will be £9:75” ENDIF Now decide the minimum number of tests that are needed to ensure that all the questions have been asked, all combinations have occurred and all replies given. | 3',
'If the pseudocode below were a programming language ,how many tests are required to achieve 100% statement coverage? 1. If x=3 then 2. Display_messageX; 3. If y=2 then 4. Display_messageY; 5. Else 6. Display_messageZ; 7. Else 8. Display_messageZ; | 3',
'Which of the following statements is NOT correct? | A minimal test set that achieves 100% statement coverage will generally detect more faults than one that achieves 100% branch coverage.',
'Given the following code, which statement is true about the minimum number of test cases required for full statement and branch coverage? Read p Read q IF p+q > 100 THEN Print “Large” ENDIF IF p > 50 THEN Print “p Large” ENDIF | 1 test for statement coverage, 2 for branch coverage',
'Which of the following is NOT a white box technique? | State transition testing',
'Given the Following program IF X < Y THEN Statement 1; ELSE IF Y >= Z THEN Statement 2; END McCabe’s Cyclomatic Complexity is : | 3',
'Consider the following statements: i. 100% statement coverage guarantees 100% branch coverage. ii. 100% branch coverage guarantees 100% statement coverage. iii. 100% branch coverage guarantees 100% decision coverage. iv. 100% decision coverage guarantees 100% branch coverage. v. 100% statement coverage guarantees 100% decision coverage. | ii, iii & iv are True; i & v are False',
'Which of the following tools would you use to detect a memory leak? | Dynamic analysis',
'Incorrect form of Logic coverage is: | Pole Coverage',
'What can static analysis NOT find? | memory leaks',
'Given the following code, which statement is true about the minimum number of test cases required for full statement and branch coverage? Read p Read q IF p+q > 100 THEN Print “Large” ENDIF IF p > 50 THEN Print “p Large” ENDIF | 1 test for statement coverage, 2 for branch coverage',
'IEEE 829 test plan documentation standard contains all of the following except | Test specifications',
'What is the purpose of a test completion criterion? | To determine when to stop testing',
'In prioritising what to test, the most important objective is to: | Test high risk areas',
'Given the following sets of test management terms (v-z), and activity descriptions (1-5), which one of the following best pairs the two sets? v – test control w – test monitoring x – test estimation y – incident management z – configuration control 1 – calculation of required test resources 2 – maintenance of record of test results 3 – re-allocation of resources when tests overrun 4 – report on deviation from test plan 5 – tracking of anomalous test results | v-3,w-4,x-1,y-5,z-2',
'Which of the following would NOT normally form part of a test plan? | Incident reports',
'Test managers should not: | Re-allocate resource to meet original plans',
'Which of the following is NOT included in the Test Plan document of the Test Documentation Standard? | Quality plans',
'Enough testing has been performed when: | The required level of confidence has been achieved',
'Which of the following is not a quality characteristic listed in ISO 9126 Standard? | Supportability',
'We split testing into distinct stages primarily because: | Each test stage has a different purpose',
'Which of these activities provides the biggest potential cost saving from the use of CAST? | Test Execution',
'Which of the following is NOT included in the Test Plan document of the Test Documentation Standard: | Quality plans',
'Which of the following is the main purpose of the integration strategy for integration testing in the small? | to specify which modules to combine when and how many at once',
'Given the following code, which is true: IF A > B THEN C = A – B ELSE C = A + B ENDIF Read D IF C = D Then Print “Error” ENDIF | 2 tests for statement coverage, 2 for branch coverage',
'Which of the following is NOT part of configuration management: | auditing conformance to ISO9001',
'Order numbers on a stock control system can range between 10000 and 99999 inclusive. Which of the following inputs might be a result of designing tests for only valid equivalence classes and valid boundaries: | 10000, 50000, 99999',
'Consider the following statements about early test design: i. early test design can prevent fault multiplication ii. faults found during early test design are more expensive to fix iii. early test design can find faults iv. early test design can cause changes to the requirements v. early test design takes more effort | i, iii & iv are true. Ii & v are false',
'Unreachable code would best be found using: | code reviews',
'Test managers should not: | re-allocate resource to meet original plans',
'When what is visible to end-users is a deviation from the specific or expected behavior, this is called: | a failure',
'Could reviews or inspections be considered part of testing: | Yes, because both help detect faults and improve quality',
'Beta testing is: | Performed by customers at their own site',
'Regression testing should be performed: v) every week w) after the software has changed x) as often as possible y) when the environment has changed z) when the project manager says | w & y are true, v, x & z are false',
'IEEE 829 test plan documentation standard contains all of the following except: | test specification',
'Expected results are: | most useful when specified in advance',
'The difference between re-testing and regression testing is | re-testing is running a test again; regression testing looks for unexpected side effects',
'Consider the following: Pick up and read the newspaper Look at what is on television If there is a program that you are interested in watching then switch the the television on and watch the program Otherwise Continue reading the newspaper If there is a crossword in the newspaper then try and complete the crossword | SC = 2 and DC = 3',
'When a new testing tool is purchased, it should be used first by: | A small team to establish the best way to use the tool',
'Which of the following is NOT included in the Test Plan document of the Test Documentation Standard: | Quality plans',
'A tool that supports traceability, recording of incidents or scheduling of tests is called: | a configuration management tool',
'A typical commercial test execution tool would be able to perform all of the following EXCEPT: | generating expected outputs',
'Which of the following statements is NOT true: | inspection is appropriate even when there are no written documents',
'Which expression best matches the following characteristics or review processes: 1. led by author 2. undocumented 3. no management participation 4. led by a trained moderator or leader 5. uses entry exit criteria s) inspection t) peer review u) informal review v) walkthrough | s = 4 and 5, t = 3, u = 2, v = 1',
'The place to start if you want a (new) test tool is: | Analyse your needs and requirements',
'What statement about expected outcomes is FALSE: | expected outcomes are defined by the software’s behaviour',
'What information need not be included in a test incident report: | how to fix the fault',
'Error guessing is best used: | After more formal techniques have been applied',
'Which of the following is NOT part of system testing: | top-down integration testing',
'Testing should be stopped when: | it depends on the risks for the system being tested',
'Given the following code, which is true about the minimum number of test cases required for full statement and branch coverage: Read P Read Q IF P+Q > 100 THEN Print “Large” ENDIF If P > 50 THEN Print “P Large” ENDIF | 1 test for statement coverage, 2 for branch coverage',
'Non-functional system testing includes: | testing quality attributes of the system including performance and usability',
'What can static analysis NOT find? | Whether the value stored in a variable is correct',
'The cost of fixing a fault: | Increases as we move the product towards live use',
'The main focus of acceptance testing is: | testing for a business perspective',
'Given the following types of tool, which tools would typically be used by developers and which by an independent test team: i. static analysis ii. performance testing iii. test management iv. dynamic analysis v. test running vi. test data preparation | developers would typically use i and iv; test team ii, iii, v and vi',
'What is the purpose of test completion criteria in a test plan: | to plan when to stop testing',
'Which of the following is not part of performance testing: | Recovery testing',
'Which of the following statements about the component testing standard is false: | black box design techniques all have an associated measurement technique',
'Given the following: Switch PC on Start “outlook” IF outlook appears THEN Send an email Close outlook | 1 test for statement coverage, 2 for branch coverage',
'Which of the following is NOT a black box technique: | LCSAJ',
'The standard that gives definitions of testing terms is: | BS7925-1',
'Consider the following statements i. an incident may be closed without being fixed ii. incidents may not be raised against documentation iii. the final stage of incident tracking is fixing iv. the incident record does not include information on test environments v. incidents should be raised when someone other than the author of the software performs the test | i and v are true, ii, iii and iv are false',
'To test a function, the programmer has to write a ______, which calls the function and passes it test data | Driver',
'An input field takes the year of birth between 1900 and 2004. The boundary values for testing this field are: | 1899,1900,2004,2005',
'Given the Following program IF X <>= Z THEN Statement 2; END McCabe’s Cyclomatic Complexity is: | 3',
'Which of the following could be a reason for a failure 1) Testing fault 2) Software fault 3) Design fault 4) Environment Fault 5) Documentation Fault | All of them are valid reasons for failure',
'Which one of the following are non-functional testing methods? | Both System and Performance Testing',
'Incorrect form of Logic coverage is: | Pole Coverage',
'Pick the best definition of quality | Conformance to requirements',
'Inspections can find all the following except: | How much of the code has been covered',
'Which one of the following statements, about capture-replay tools, is NOT correct? | They are used to capture and animate user requirements',
'A regression test: | Will help ensure unchanged areas of the software have not been affected',
'Fault Masking is | Error condition hiding another error condition',
'Acceptance test cases are based on what? | Requirements',
'How many test cases are necessary to cover all the possible sequences of statements (paths) for the following program fragment? Assume that the two conditions are independent of each other: ………… if (Condition 1) then statement 1 else statement 2 fi if (Condition 2) then statement 3 fi ………… | 2 Test cases',
'To test a function, the programmer has to write a _________, which calls the function to be tested and passes it test data. | Driver',
'Test cases are designed during: | test specification',
'Which of the following tools would be involved in the automation of regression test? | Capture/Playback',
'If an expected result is not specified then: | It may be difficult to determine if the test has passed or failed',
'Which of the following statements about component testing is not true? | Component testing does not involve regression testing',
'Which of the following is not a characteristic for Testability? | Robustness',
'In a review meeting a moderator is a person who | Mediates between people',
'Independent Verification & Validation is | Done by an Entity Outside the Project’s sphere of influence',
'Tests are prioritized so that: | You do the best testing in the time available',
'Defect Management process does not include | Deliverable base-lining',
'Which of the following is not a quality characteristic listed in ISO 9126 Standard? | Supportability',
'Which of the following would NOT normally form part of a test plan? | Incident reports',
'Which of the following is NOT true of incidents? | Incident resolution is the responsibility of the author of the software under test',
'Which of the following is not a static testing technique | Error guessing',
'Equivalence partitioning is: | A black box testing technique appropriate to all levels of testing',
'A common test technique during component test is | Statement and branch testing',
'Code Coverage is used as a measure of what? | Test Effectiveness',
'The oracle assumption: | is that the tester can routinely identify the correct outcome of a test',
'Boundary value testing: | Test boundary conditions on, below and above the edges of input and output equivalence classes',
'One Key reason why developers have difficulty testing their own work is: | Lack of Objectivity',
'How much testing is enough? | The answer depends on the risk for your industry, contract and special requirements',
'Statement Coverage will not check for the following. | Missing Statements',
'Which of these activities provides the biggest potential cost saving from the use of CAST? | Test execution',
'Which of the following should NOT normally be an objective for a test? | To prove that the software is correct',
'When a new testing tool is purchased, it should be used first by: | A small team to establish the best way to use the tool',
'The inputs for developing a test plan are taken from | Project plan',
'During the software development process, at what point can the test process start? | When the software requirements have been approved',
'A company recently purchased a commercial off-the-shelf application to automate their bill-paying process. They now plan to run an acceptance test against the package prior to putting it into production. Which of the following is their most likely reason for testing? | To build confidence in the application.',
'According to the ISTQB Glossary, the word ‘bug’ is synonymous with which of the following words? | Defect',
'According to the ISTQB Glossary, a risk relates to which of the following? | Negative consequences that could occur',
'Ensuring that test design starts during the requirements definition phase is important to enable which of the following test objectives? | Preventing defects in the system',
'A test team consistently finds between 90% and 95% of the defects present in the system under test. While the test manager understands that this is a good defect-detection percentage for her test team and industry, senior management and executives remain disappointed in the test group, saying that the test team misses too many bugs. Given that the users are generally happy with the system and that the failures which have occurred have generally been low impact, which of the following testing principles is most likely to help the test manager explain to these managers and executives why some defects are likely to be missed? | Exhaustive testing is impossible',
'According to the ISTQB Glossary, regression testing is required for what purpose? | To ensure that defects have not been introduced by a modification',
'Which of the following is most important to promote and maintain good relationships between testers and developers? | Explaining test results in a neutral fashion',
'Which of the statements below is the best assessment of how the test principles apply across the test life cycle? | Test principles affect activities throughout the test life cycle',
'What are good practices for testing within the development life cycle? | A and B above',
'Which option best describes objectives for test levels with a life cycle model? | Each level has objectives specific to that level',
'Which of the following is a test type? | Functional testing',
'Which of the following is a non-functional quality characteristic? | Usability',
'Which of these is a functional test? | Checking the on-line bookings screen information and the database contents against the information on the letter to the customers',
'Which of the following is a true statement regarding the process of fixing emergency changes? | Retest the changed area and then use risk assessment to decide on a reasonable subset of the whole regression test to run in case other parts of the system have been adversely affected',
'A regression test: | Will check unchanged areas of the software to see if they have been affected',
'Non-functional testing includes: | Testing the quality attributes of the system including reliability and usability',
'Beta testing is: | Performed by customers at their own site',
'Which of the following artifacts can be examined by using review techniques? | All of the above',
'Which statement about the function of a static analysis tool is true? | Gives quality information about the code without executing it',
'Which is not a type of review? | Management approval',
'What statement about reviews is true? | Inspections are led by a trained moderator, whereas technical reviews are not necessarily',
'What is the main difference between a walkthrough and an inspection? | A walkthrough is led by the author, whilst an inspection is led by a trained moderator',
'Which of the following characteristics and types of review processes belong together? 1. Led by the author 2. Undocumented 3. No management participation 4. Led by a trained moderator or leader 5. Uses entry and exit criteria s. Inspection t. Technical review u. Informal review v. Walkthrough | s = 4 and 5, t = 3, u = 2, v = 1',
'What statement about static analysis is true? | With static analysis, defects can be found that are difficult to find with dynamic testing',
'Which of the following statements about early test design are true and which are false? 1. Defects found during early test design are more expensive to fix. 2. Early test design can find defects. 3. Early test design can cause changes to the requirements. 4. Early test design takes more effort. | 2 and 3 are true. 1 and 4 are false',
'Static code analysis typically identifies all but one of the following problems. Which is it? | Faults in the requirements',
'In which document described in IEEE 829 would you find instructions for the steps to be taken for a test including set-up, logging, environment and measurement? | Test procedure specification',
'With a highly experienced tester with a good business background, which approach to defining test procedures would be effective and most efficient for a project under severe time pressure? | A high-level outline of the test conditions and general steps to take',
'Put the test cases that implement the following test conditions into the best order for the test execution schedule, for a test that is checking modifications of customers on a database. 1 Print modified customer record. 2 Change customer address: house number and street name. 3 Capture and print the on-screen error message. 4 Change customer address: postal code. 5 Confirm existing customer is on the database by opening that record. 6 Close the customer record and close the database. 7 Try to add a new customer with no details at all. | 5,4,2,1,7,3,6',
'Why are both specification-based and structure-based testing techniques useful? | They find different types of defect',
'What is a key characteristic of structure-based testing techniques? | They are used both to measure coverage and to design tests to increase coverage',
'Which of the following would be an example of decision-table testing for a financial application applied at the system-test level? | A table containing rules for mortgage applications',
'Which of the following could be a coverage measure for state transition testing? V All states have been reached. W The response time for each transaction is adequate. X Every transition has been exercised. Y All boundaries have been exercised. Z Specific sequences of transitions have been exercised. | V, X and Z',
'Postal rates for ‘light letters’ are 25p up to l0g, 35p up to 50g plus an extra l0p for each additional 25g up to l00g. Which test inputs (in grams) would be selected using equivalence partitioning? | 4,15, 65, 92,159',
'Which of the following could be used to assess the coverage achieved for specification based (black-box) test techniques? V Decision outcomes exercised W Partitions exercised X Boundaries exercised Y State transitions exercised Z Statements exercised | W,XorY',
'Which of the following structure based test design technique would be most likely to be applied to? 1 Boundaries between mortgage interest rate bands. 2 An invalid transition between two different arrears statuses. 3 The business process flow for mortgage approval. 4 Control flow of the program to calculate repayments. | 3 and 4',
'Use case testing is useful for which of the following? P Designing acceptance tests with users or customers. Q Making sure that the mainstream business processes are tested. R Finding defects in the interaction between components. S Identifying the maximum and minimum values for every input field. T Identifying the percentage of statements exercised by a sets of tests. | P, Q and R',
'Which of the following statements about the relationship between statement coverage and decision coverage is correct? | 100% decision coverage always means 100% statement coverage',
'Why are error guessing and exploratory testing good to do? | They can find defects missed by specificationbased and structure-based techniques',
'How do experience-based techniques differ from specification-based techniques? | They depend on an individual's personal view rather than on a documented record of what the system should do',
'Requirement 24.3: A ‘Postage Assistant’ will calculate the amount of postage due for letters and small packages up to 1 kilogram in weight. The inputs are: the type of item (letter, book or other package) and the weight in grams. Which of the following conform to the required contents of a test case? | Test 1: letter, 10 grams, postage €0.25. Test 2: book, 500 grams, postage €1.00. Test 3: package, 999 gram, postage €2.53 [Req 24.3]',
'You are writing a test plan using the IEEE 829 template and are currently completing the Risks and Contingencies section. Which of the following is most likely to be listed as a project risk? | Unexpected illness of a key team member',
'You and the project stakeholders develop a list of product risks and project risks during the planning stage of a project. What else should you do with those lists of risks during test planning? | Determine the extent of testing required for the product risks and the mitigation and contingency actions required for the project risks',
'Consider the following exit criteria which might be found in a test plan: I – No known customer-critical defects. II – All interfaces between components tested. III – 100% code coverage of all units. IV – All specified requirements satisfied. V – System functionality matches legacy system for all business rules. Which of the following statements is true about whether these exit criteria belong in an acceptance test plan? | Only statements I, IV, and V belong in an acceptance test plan',
'According to the ISTQB Glossary, what do we mean when we call someone a test manager? | A test manager is the leader of a test team or teams',
'Which tools help to support static testing? | Review process support tools, static analysis tools and modeling tools',
'When choosing which technique to use in a given situation, which factors should be taken into account? U previous experience of types of defects found in this or similar systems V the existing knowledge of the testers W regulatory standards that apply X the type of test execution tool that will be used Y the documentation available Z previous experience in the development language | U, V, W and Y',
'Which test activities are supported by test harness or unit test framework tools? | Test execution and logging',
'Which of the following factors is an influence on the test effort involved in most projects? | The quality of the information used to develop the tests',
'What are the potential benefits from using tools in general to support testing? | Greater repeatability of tests, reduction in repetitive work, objective assessment',
'Consider the following types of tools: V. Test management tools W. Static analysis tools X. Modelling tools Y. Dynamic analysis tools Z. Performance testing tools Which of the following of these tools is most likely to be used by developers? | W, X and Y',
'For a test procedure that is checking modifications of customers on a database, which two steps below would be the lowest priority if we didn’t have time to execute all of the steps? 1. Open database and confirm existing customer 2. Change customer’s marital status from single to married 3. Change customer’s street name from Parks Road to Park Road 4. Change customer’s credit limit from 500 to 750 5. Replace customer’s first name with exactly the same first name 6. Close the customer record and close the database | Tests 3 and 5',
'If the temperature falls below 18 degrees, the heating is switched on. When the temperature reaches 21 degrees, the heating is switched off. What is the minimum set of test input values to cover all valid equivalence partitions? | 15, 19 and 25 degrees',
'During test execution, the test manager describes the following situation to the project team: “90% of the test cases have been run. 20% of the test cases have identified defects. 127 defects have been found. 112 defects have been fixed and have passed confirmation testing. Of the remaining 15 defects, project management has decided that they do not need to be fixed prior to release.” Which of the following is the most reasonable interpretation of this test status report? | The remaining 10% of test cases should be run prior to release',
'Which of the following could be used to assess the coverage achieved for structure-based (white-box) test techniques? V Decision outcomes exercised W Partitions exercised X Boundaries exercised Y Conditions or multiple conditions exercised Z Statements exercised | V, Y or Z',
'The ISTQB Foundation Syllabus establishes a fundamental test process where test planning occurs early in the project, while test execution occurs at the end. Which of the following elements of the test plan, while specified during test planning, is assessed during test execution? | Exit criteria',
'Consider the following list of either product or project risks: I. An incorrect calculation of fees might short-change the organization. II. A vendor might fail to deliver a system component on time. III. A defect might allow hackers to gain administrative privileges. IV. A skills gap might occur in a new technology used in the system. V. A defect-prioritization process might overload the development team. Which of the following statements is true? | II and V are primarily product risks and I, III and V are primarily project risks.',
'Which of the following is a goal for a proof-of-concept or pilot phase for tool evaluation? | Decide on standard ways of using, managing, storing and maintaining the tool and the test assets',
'Consider the following list of test process activities: I Analysis and design II Test closure activities III Evaluating exit criteria and reporting IV Planning and control V Implementation and execution Which of the following places these in their logical sequence? | IV, I, V, III and II',
'Consider the following statements about regression tests: I. They may usefully be automated if they are well designed. II. They are the same as confirmation tests (re-tests). III. They are a way to reduce the risk of a change having an adverse affect elsewhere in the system. IV. They are only effective if automated. Which pair of statements is true? | I and III',
'In an incident report, the tester makes the following statement: At this point, I expect to receive an error message explaining the rejection of this invalid input and asking me to enter a valid input. Instead the system accepts the input, displays an hourglass for between one and five seconds and finally terminates abnormally, giving the message: “Unexpected data type: 15. Click to continue.” This statement is likely to be found in which of the following sections of an IEEE 829 standard incident report? | Incident description',
'In a test summary report, the project’s test leader makes the following statement, “The payment processing subsystem fails to accept payments from American Express cardholders, which is considered a must-work feature for this release.” This statement is likely to be found in which of the following sections? | Evaluation',
'A product risk analysis meeting is held during the project planning period. Which of the following determines the level of risk? | The harm that might result to the user',
'A test plan included the following a clauses among the exit criteria: System test shall continue until all significant product risks have been covered to the extent specified in the product risk analysis document. System test shall continue until no must-fix defects remain against any significant product risks specified in the product risk analysis document. During test execution, the test team detects 430 must fix defects prior to release and all must-fix defects are resolved. After release, the customers find 212 new defects, none of which were detected during testing. This means that only 67% of the important defects were found prior to release, a percentage which is well below average in your industry. You are asked to find the root cause for the high number of field failures. Consider the following list of explanations: I. Not all the tests planned for the significant product risks were executed. II. The organization has unrealistic expectations of the percentage of defects that testing can find III. A version-control issue has resulted in the release of a version of the software that was used during early testing IV. The product risk analysis failed to identify all the important risks from a customer point of view. V. The product risk analysis was not updated during the project as new information became available. Which of the following statements indicate which explanations are possible root causes? | I, IV and V are possible explanations, but II and III are not possible.',
'Which of the following metrics would be most useful to monitor during test execution? | Number of defects found and fixed',
'Which of the following are benefits and which are risks of using tools to support testing? 1. Over-reliance on the tool 2. Greater consistency and repeatability 3. Objective assessment 4. Unrealistic expectations 5. Underestimating the effort required to maintain the test assets generated by the tool 6. Ease of access to information about tests or testing 7. Repetitive work is reduced | Benefits: 2, 3, 6 and 7. Risks: 1, 4 and 5',
'During an early period of test execution, a defect is located, resolved and confirmed as resolved by re-testing, but is seen again later during subsequent test execution. Which of the following is a testing-related aspect of configuration management that is most likely to have broken down? | Configuration control',
'Which of the following are advanced scripting techniques for test execution tools? | Data-driven and keyword-driven',
'Consider the following statements about maintenance testing: I. It requires both re-test and regression test and may require additional new tests. II. It is testing to show how easy it will be to maintain the system. III. It is difficult to scope and therefore needs careful risk and impact analysis. IV. It need not be done for emergency bug fixes. Which of the statements are true? | I and III',
'According to the ISTQB Glossary, what is a test level? | A group of test activities that are organized together',
'Why is independent testing important? | Independent testing is more effective at finding defects',
'What is the primary difference between the test plan, the test design specification, and the test procedure specification? | The test plan describes one or more levels of testing, the test design specification identifies the associated high-level test cases and a test procedure specification describes the actions for executing a test',
'Review the following portion of an incident report. 1. I place any item in the shopping cart. 2. I place any other (different) item in the shopping cart. 3. I remove the first item from the shopping cart, but leave the second item in the cart. 4. I click the < Checkout > button. 5. I expect the system to display the first checkout screen. Instead, it gives the pop-up error message, ‘No items in shopping cart. Click to continue shopping.’ 6. I click < Okay >. 7. I expect the system to return to the main window to allow me to continue adding and removing items from the cart. Instead, the browser terminates. 8. The failure described in steps 5 and 7 occurred in each of three attempts to perform steps 1,2,3,4 and 6. Assume that no other narrative information is included in the report. Which of the following important aspects of a good incident report is missing from this incident report? | The summary.',
'According to the ISTQB Glossary, what do we call a document that describes any event that occurred during testing which requires further investigation? | An incident report',
'What is a potential risk in using tools to support testing? | Unrealistic expectations, expecting the tool to do too much',
'Which of the following would NOT be done as part of selecting a tool for an organization? | Roll out the tool to as many users as possible within the organization',
'A product risk analysis is performed during the planning stage of the test process. During the execution stage of the test process, the test manager directs the testers to classify each defect report by the known product risk it relates to (or to ‘other’). Once a week, the test manager runs a report that shows the percentage of defects related to each known product risk and to unknown risks. What is one possible use of such a report? | To identify new risks to system quality',
'Which of the following is among the typical tasks of a test leader? | Gather and report test progress metrics',
'According to the ISTQB Glossary, a product risk is related to which of the following? | The test object',
'You are working as a tester on a project to develop a point-of-sales system for grocery stores and other similar retail outlets. Which of the following is a product risk for such a project? | Failure to accept allowed credit cards',
'Which of the following statements is TRUE with respect to when the test analyst should become involved during different lifecycle models? | In sequential V-model projects the test analyst should start test analysis concurrently with requirement specification',
'Which of the following is a type of testing that someone in the role of a Test Analyst, working with the Test Manager, should typically consider and plan for? | Usability',
'A project has been initiated to collect and analyze usage of a web-based search tool in order to optimize search results for particular groups of users. The project will build on initial analysis of user data collected over a period of time and will aim to refine the collection and analysis ‘engines’ so that relevant data can be collected and analyzed in real time, enabling users to focus their search more effectively. The project will use agile techniques in an iterative/incremental life cycle. Requirements are based on user stories and these will be explored during short ‘sprints’. The sprints will be grouped to focus on data collection for the first part of the project and analysis for the second part. Risks include the inability to analyze the volume of data collected, inability to collect data for the desired analysis, inadequate speed and response times, and poor user interface. The testing for the first part has been scoped and requirements have been documented and reviewed with no major concerns arising. Which one of the following answers describes the most appropriate and complete sequence of activities for the TA to focus on during test analysis and design? | Analyze user stories, identify test conditions at appropriate levels to address user stories, add test conditions for risk mitigation, select test case design techniques to achieve desired coverage, create test cases',
'Which one of the following statements does NOT give a good reason why test cases should be reviewed and understood by stakeholders? | The test manager reviews the test cases in order to control the work of the test analyst and to create the organization’s test strategy',
'Scenario: Health Insurance The IT department of insurance company SecureLife has started a project IQ (Improved Quality) to implement a new health insurance application to make it possible to create online transactions for health insurance claims raised by employees and members of companies or associations having health insurance agreements. In the new application it will be possible to make registration of all the information about the employees, their age, health conditions, etc. The project also has to fulfill the demands of the people doing insurance calculation, actuaries and the demands from public legislation. The project team for IQ have testers who are business users with lots of domain knowledge but without much formal test training. At the same time another project, HIPPOS (Health Insurance Product Public Order Sales), has been started by the marketing department of SecureLife with the purpose of launching a new Internet application that will allow potential buyers of health insurance to use a small calculator to calculate insurance premiums and possible bonus deductions based on age and different health parameters. This application will also allow individual customers to order Health Insurance Products online. The marketing tool and web page of project HIPPO will be developed and tested by SecureLife’s Agile development team, which has worked together for the last three years with the marketing department, developing marketing web applications. The Agile team consists of well trained testers and developers. They have implemented test automation for configuration and regression testing and they have as part of their retrospectives built check lists of common defects and common security problems. As senior test analyst in SecureLife you have been asked to give input to the test strategy for the two projects, IQ and HIPPOS, regarding the level of detail and documentation required for test cases in the two projects. Which TWO of the following are the BEST options for this strategy? | 2. In project IQ the test cases should be written at a concrete level with documented procedures and traceability to requirements & 4. In project HIPPOS the test cases should be written at a logical level allowing the testers flexibility in varying the details to achieve higher coverage.',
'Consider the following exit criterion: “All test cases must be reviewed and approved by representatives from the development and test team.” The project team has determined that this exit criterion is critical for keeping the project on schedule. This exit criterion is from which test activity? How will meeting this criterion help keep the project on schedule? | Test Design; by ensuring that the test team is creating the test cases that will target the correct areas with valid tests',
